Serial,Sample ID,Date,start time,end time,Village,Bari,Household,School,Block,N,E,Elev (m),Acc (m),aquifer,depth (ft),As tested results?,water temp ©,pH,EC (uS/cm),TDS (mg/L),turb (NTU),TLF1 (ppb),TLF2 (ppb),TLF3 (ppb),CDOM1 (ppb),CDOM2 (ppb),CDOM3 (ppb),TLF_Avg (ppb),CDOM_Avg (ppb),TLF:CDOM,E.coli (MPN/100mL),E.coli_dup (MPN/100mL),Risk,DOC (mg/L),DOC_dup,Interview done?,Notes
11,SC-BC-11,8-Jul-18,11:15,12:20,N00,,,143 No. Aswinpur Govt. Primary School,C,2323.938,9046.129,12,4,deep,700,unknown,28.7,6.86,969,442,3.72,1.36,1.38,1.42,2.89,2.90,2.92,1.39,2.90,0.48,1.5,no,Int,,,yes - me with Joy Deep,filter paper had small to med few particulates and orange discolouration
12,SC-BC-12,8-Jul-18,13:20,13:50,V26,,,Nanayanpur Popular High School,C,2322.383,9046.226,16,6,shallow,250,unknown,27.5,7,1824,871,1.52,0.38,0.41,0.38,0.64,0.63,0.62,0.39,0.63,0.62,0,no,Low,0.3,,yes - me with Joy Deep,filter paper had a bit of very fine black sediment; can smell latrine that 1m away; it is quite difficult to pump
13,HH-BC-13,8-Jul-18,14:30,14:55,DXO,4,36,,C,2323.787,9046.421,29,3,shallow,120,unknown,27.7,7.06,567,260,1.04,24.14,23.87,23.68,98.02,98.44,98.61,23.90,98.36,0.24,4.7,13.6,Int,4.44,4.63,yes - me with Joy Deep,filter paper clear but water in the large red bucket looks milky white (JD took a photo); latrine a few metres away
14,HH-BC-14,8-Jul-18,15:00,16:00,DXO,4,28,,C,2323.773,9046.405,9,3,shallow,90,safe,27.9,7.3,663,304,1.21,29.79,29.13,29.52,119.51,116.76,124.54,29.48,120.27,0.25,3.2,no,Int,,,yes - me with Joy Deep,filter paper clear but bucket a bit murky; latrine 5-7m away
15,SC-BB-15,9-Jul-18,9:10,10:10,V26,,,12 No. South Nanayanpur Govt. Primary School,B,2321.800,9045.919,-1,3,shallow,200,unknown,27.5,7.62,1999,958,0.67,11.93,11.68,11.67,43.69,42.84,42.77,11.76,43.10,0.27,1.2,4.7,Int,,yes,yes - me with Joy Deep,filter paper clear
16,SC-BB-16,9-Jul-18,10:20,11:20,VBB,,,162 No. Nagda Govt. Pri. School,B,2320.868,9045.288,1,3,shallow,200,safe,27.8,7.11,1858,881,2.96,23.79,23.94,23.55,74.54,74.31,71.21,23.76,73.35,0.32,9.6,no,Int,4.45,,yes - me with Joy Deep,a few small dark flecks
17,SC-BB-17,9-Jul-18,11:30,12:30,VBB,,,11 No. West Nagda Govt. Pri. School,B,2320.881,9044.892,2,4,shallow,230,unsafe,28,7.18,1931,914,8.52,1.00,0.98,0.98,2.08,2.08,2.11,0.99,2.09,0.47,48.3,no,High,0.69,,yes - me with Joy Deep,"first one mostly clear but next two covered with fine sand, more grey brown than red"
18,HH-BB-18,9-Jul-18,12:45,13:45,VBB,53,386,,B,2320.896,9044.904,17,3,shallow,180,unknown,28.2,7.21,1958,923,24.4,2.94,2.88,2.81,6.18,6.29,6.43,2.88,6.30,0.46,1.1,5.8,Int,,yes,yes - me with Joy Deep,"filter paper fully covered with fine black and sparkly sand, more comes out with longer pumping"
19,SC-BB-19,9-Jul-18,15:40,16:40,V85,,,34 No. Bhanurpara Govt. Pri. School,B,2322.309,9045.343,15,3,shallow,400,unsafe,28,7.16,1669,716,0.31,23.74,23.94,23.62,56.30,56.97,56.79,23.77,56.68,0.42,0,no,Low,3.1,,yes - me with Joy Deep,filter paper clear
20,HH-BB-20,9-Jul-18,16:45,17:30,B85,1,160,,B,2322.350,9045.298,19,3,shallow,95,unknown,27.8,7.05,1772,840,0.13,1.86,1.85,1.84,4.66,4.70,4.69,1.85,4.68,0.39,0,no,Low,0.77,,yes - me with Joy Deep,filter paper clear
21,SC-BA-21,10-Jul-18,9:30,10:50,W00,,,111 No. Matlab Model Govt. Primary School,A,2320.695,9042.393,-7,3,shallow,180,safe,27.6,6.83,1375,648,0.33,0.14,0.09,0.11,0.19,0.21,0.20,0.11,0.20,0.56,4.7,no,Int,0.59,0.6,yes - me with Joy Deep,filter paper mostly clear with some yellow staining
22,SC-BA-22,10-Jul-18,11:00,12:30,#N/A,,,Mattabgonj Pilot Girls High School,A,2320.947,9042.354,16,4,shallow,160,safe,28,6.99,1315,614,2.31,0.25,0.24,0.21,0.52,0.52,0.52,0.23,0.52,0.45,100,no,VHigh,0.63,,yes - me with Joy Deep,filter paper had some fine grey-green particulates; rotten-egg sulfurous odour
23,SC-BA-23,10-Jul-18,12:45,13:45,V32,,,24 No. Mobarakdi Govt. Primary School,A,2318.854,9041.278,6,3,deep,650,safe,28.5,6.59,1246,575,1.95,0.80,0.82,0.82,2.25,2.24,2.23,0.81,2.24,0.36,1.1,no,Int,0.56,,yes - me with Joy Deep,filter paper had a few red flecks and some very very fine black/grey sediment
24,HH-BA-24,10-Jul-18,16:10,16:45,V11,3,#N/A,,A,2320.468,9042.281,19,4,shallow,180,safe,27.9,7.02,1437,674,2.06,0.05,0.06,0.05,0.14,0.12,0.13,0.05,0.13,0.38,0,0,Low,,yes,yes - me with Joy Deep very brief,"first had few very fine black sediment, second one clear"
25,HH-BA-25,10-Jul-18,17:00,17:45,V11,3,38,,A,2320.462,9042.317,21,4,shallow,180,safe,28,6.72,1519,714,1.59,0.24,0.23,0.21,0.22,0.22,0.22,0.22,0.22,1.03,0,no,Low,,,yes - me with Joy Deep very brief,filter paper with some very fine light coloured material on it
