N,E,Elev (m),Acc (m),aquifer,depth (ft),Results,water temp ©,pH,EC (uS/cm),TDS (mg/L),turb (NTU),TLF1 (ppb),TLF2 (ppb),TLF3 (ppb),CDOM1 (ppb),CDOM2 (ppb),CDOM3 (ppb),TLF_Avg (ppb),CDOM_Avg (ppb),TLF:CDOM,E.coli (MPN/100mL),DOC (mg/L)
1.575517923,1.138345437,0.188232961,0.40824829,deep,700,unknown,2.016475365,-0.261806836,-0.675318042,-0.686716782,0.005656448,-0.566822902,-0.56167432,-0.553536476,-0.601367273,-0.601083506,-0.596243403,-0.560352734,-0.599712487,0.043259854,-0.398224427,-0.437455542
0.597361234,1.177439738,0.636406676,2.449489743,shallow,250,unknown,-1.289221955,0.244449476,0.393539651,0.395136018,-0.340015381,-0.650329583,-0.643904471,-0.640993625,-0.660289932,-0.660466701,-0.655554169,-0.645044218,-0.658840831,0.625604042,-0.452626671,-0.724237681
1.480532933,1.256031374,2.092971252,-0.612372436,shallow,120,unknown,-0.738272402,0.461416467,-1.177868676,-1.145684637,-0.415434689,1.374281382,1.344878363,1.318382878,1.889882735,1.898242703,1.87134237,1.346052569,1.886803697,-0.955044469,-0.282166306,1.943802896
1.471726377,1.24958283,-0.147897326,-0.612372436,shallow,90,safe,-0.187322848,1.32928443,-1.057856584,-1.034725375,-0.388723684,1.855722963,1.790786193,1.809488405,2.452659595,2.377493866,2.540006797,1.818631049,2.457509433,-0.913448455,-0.33656855,-0.437455542
0.230631105,1.053708291,-1.268331615,-0.612372436,shallow,200,unknown,-1.289221955,2.486441714,0.612311694,0.614532739,-0.473570406,0.333856303,0.311491204,0.308420998,0.467096937,0.443746814,0.431380101,0.317897954,0.447406208,-0.830256428,-0.409104876,-0.437455542
-0.355633869,0.799393818,-1.044244758,-0.612372436,shallow,200,safe,-0.462797625,0.642222293,0.436043934,0.420354032,-0.113757457,1.344457568,1.350812497,1.307450735,1.274992057,1.267001951,1.164770626,1.334195761,1.235350001,-0.622276361,-0.104452309,1.950247439
-0.347456353,0.639792342,-0.932201329,0.40824829,shallow,230,unsafe,0.088151929,0.895350449,0.527303128,0.503573478,0.75984953,-0.597498825,-0.595583661,-0.590537578,-0.62257943,-0.622534704,-0.617131107,-0.594229328,-0.620811147,0.001663841,1.29912559,-0.472900526
-0.338020758,0.64462875,0.748450105,-0.612372436,shallow,180,unknown,0.639101482,1.003833944,0.561056529,0.52626969,3.254971644,-0.432189681,-0.434514292,-0.436646633,-0.515209252,-0.512401113,-0.505730015,-0.434162423,-0.511150209,-0.039932173,-0.412731692,-0.437455542
0.550812298,0.821560689,0.524363247,-0.612372436,shallow,400,unsafe,0.088151929,0.823028118,0.199770128,0.004256801,-0.530134887,1.340197023,1.350812497,1.313337274,0.797325704,0.813387586,0.792917905,1.335042676,0.801134364,-0.206316227,-0.452626671,1.080234207
0.576602925,0.803424158,0.972536963,-0.612372436,shallow,95,unknown,-0.462797625,0.425255302,0.328533101,0.316960174,-0.558417128,-0.524217452,-0.521830845,-0.518217243,-0.555014782,-0.55399551,-0.550599899,-0.521394652,-0.55334753,-0.331104267,-0.452626671,-0.421344186
-0.464457732,-0.367389701,-1.940592189,-0.612372436,shallow,180,safe,-1.013747178,-0.370290331,-0.167766903,-0.167225694,-0.526992416,-0.670780199,-0.671031944,-0.663698846,-0.672074463,-0.671453901,-0.666384831,-0.668757834,-0.670041355,0.376027962,-0.282166306,-0.53734595
-0.305939735,-0.383108028,0.636406676,0.40824829,shallow,160,safe,0.088151929,0.208288311,-0.242774461,-0.252966942,-0.21588777,-0.661407,-0.658315941,-0.655289505,-0.663432474,-0.663344301,-0.658132898,-0.658594856,-0.661706081,-0.081528186,3.174189604,-0.51156778
-1.622519768,-0.816772645,-0.484027613,-0.612372436,deep,650,safe,1.465525812,-1.238158294,-0.329033152,-0.351317196,-0.272452251,-0.614541005,-0.609147397,-0.603992523,-0.618127496,-0.618349105,-0.614036633,-0.609473795,-0.616903988,-0.455892307,-0.412731692,-0.556679578
-0.607249737,-0.412529512,0.972536963,0.40824829,shallow,180,safe,-0.187322848,0.316771807,-0.090259094,-0.101658858,-0.25516866,-0.678449179,-0.673575144,-0.668744451,-0.673383856,-0.6738083,-0.668189941,-0.673839323,-0.671864696,-0.37270028,-0.452626671,-0.437455542
-0.611023975,-0.398020287,1.196623821,0.40824829,shallow,180,safe,0.088151929,-0.768063147,0.012251234,-0.000786802,-0.329016732,-0.662259109,-0.659163674,-0.655289505,-0.671288828,-0.671192301,-0.665869085,-0.659441771,-0.6695204,2.331040594,-0.452626671,-0.437455542
-0.648300642,0.401432592,-0.771584996,0.244776161,deep,200,safe,-2.263590752,1.539496162,-0.236831526,-0.795451267,0.727774983,1.66154393,-0.199320286,1.322960103,-1.860443219,0.175843421,-1.315727302,-0.091901906,0.168933995,0.881520391,0.18273888,-0.819896214
0.482562786,-0.114235649,1.535598476,1.638754139,deep,95,unknown,-2.230798799,0.900169856,-1.11533882,-0.784152751,1.992992106,0.769793001,1.0936382,0.718143294,0.985759869,0.346556848,-0.049712475,0.268764475,-2.663634309,-0.648453119,-1.41678175,-0.624341591
0.225810735,0.691473578,-1.056396932,0.515988778,deep,250,unknown,-0.068844724,-0.34522798,-0.621903804,1.949161028,0.572693345,0.885325686,-0.799972199,0.261309326,-0.174290461,0.586526138,0.984585583,-0.712799704,1.079088159,-0.0944073,-0.024768568,0.044792749
1.062712382,-0.244535823,1.323400288,0.355370823,deep,95,unsafe,-0.177197153,-0.570690322,-0.531928291,-1.345173227,0.433360669,1.331880412,2.151584986,0.221114909,-0.488589723,-0.084888718,-1.383896305,-0.893651806,1.781864576,0.409061615,-1.232441564,1.488484946
0.778594505,-0.521090433,0.977733967,-1.13753544,shallow,230,unknown,0.51155222,1.228117753,0.311542643,-1.037203198,-0.684858022,-1.529341041,-1.456065233,1.057899977,0.411383303,0.256348103,0.153097674,-0.090965741,0.097426655,-0.258039384,-0.89273565,-0.435656738
0.854801177,-0.480772244,0.494277383,1.991781942,deep,90,unsafe,1.874914529,0.646036739,-1.033408658,-2.848800498,0.185707224,-1.381264917,-0.814396551,0.739845843,-0.421233685,0.193445608,-0.15339852,-0.978945922,-0.119354832,0.646290563,-0.954652132,0.598175789
2.08141612,0.096072895,3.024716506,0.181288781,deep,669,unknown,-1.16372592,0.485688186,-0.81039602,-1.098612139,0.222471929,-1.401867113,0.134685706,1.608265837,-0.234382097,0.501533993,-0.202587052,-0.843860414,0.038298418,0.737456417,-0.644401999,0.20435116
-2.220115406,-2.401989565,1.096411066,-1.210855249,shallow,60,unknown,-1.283118062,-0.554864327,-0.018039401,-1.666406466,-0.834221523,-0.532441488,0.105524768,0.772046098,-0.492062913,-1.466979132,-0.1613278,0.005919474,-0.393556578,0.997146752,0.015279572,-2.413726877
-0.610800788,1.120648459,-1.140203039,1.180960722,shallow,280,unknown,-0.752798854,-2.840780015,1.290244619,-1.437056242,-0.145017747,-0.666035349,0.458846531,0.664692407,0.958160341,-1.596734929,-0.456921045,0.683566032,-2.509186649,0.403564572,-1.229131871,-1.726164144
-0.572442415,0.012856082,0.045198795,-0.714887768,deep,200,safe,-0.414288906,0.819721681,0.035121544,-0.653774172,0.811303927,1.075565581,1.097572298,1.007261815,-0.24692042,-0.689617195,1.475262346,-0.539215074,1.608609539,0.88986313,-0.265162229,-0.813559018
0.719192334,-0.013129656,-0.173096848,1.765182703,shallow,700,safe,0.175012734,1.223346397,-0.937481767,0.76380823,0.580964188,-0.552674252,-0.131932882,1.121911172,0.58819861,0.361495607,0.284426719,-0.773951172,0.257839347,0.36938566,-0.753321445,2.544310507
0.045638766,0.74666309,-2.276831682,0.237294899,deep,230,unknown,-0.302348613,-1.021575956,-0.282686452,0.780023699,2.026026673,-1.240103096,2.149043169,-1.969874482,1.495164288,0.578862457,0.429077363,-0.930364334,1.072840723,-1.252634066,-0.724053327,-0.275106729
-1.036680968,-2.185440308,0.676443686,-0.346661844,deep,669,unsafe,-0.789316259,0.563395641,1.407355447,0.011517989,0.104271462,-0.39024194,-0.125208818,0.161953171,-0.707053732,0.045054384,-0.295285203,1.931543036,2.260578195,-0.11835491,-0.939280703,-0.039634332
1.565615703,-0.513567543,0.670601529,-0.297141829,deep,180,safe,1.73204872,0.992796012,-1.351915769,-0.046024146,1.178929618,1.240599665,0.861093718,0.446827388,0.675755268,-0.524931937,1.26581055,1.067776509,0.09903776,2.282417945,0.637438871,-1.045538995
-3.041921526,-1.083142949,2.051557944,0.552264581,shallow,700,unsafe,1.372398223,-1.438360163,1.603497342,0.919106261,-0.641690315,0.118445466,-0.886951665,0.45609213,-0.638992332,0.483315387,-0.07378865,-1.334064755,0.561301474,-1.160539047,-0.820655033,-0.1510126
-0.124039955,-1.145357283,-0.571881001,-0.634169631,shallow,650,unknown,-0.205833971,0.591183238,0.301771828,-1.229906184,-0.063619489,1.731740414,-0.880318107,-0.343941616,1.183892535,0.355536676,-1.303792626,-0.809704679,-1.926626405,-2.048248771,0.525822178,-1.318443993
-2.097281812,0.214215628,0.870384124,-0.200609552,deep,250,unsafe,0.609290894,0.026716763,-1.24312129,0.050621159,-0.08314866,-0.232189103,1.009486079,-1.360558261,1.480889453,-0.307649887,-1.58220836,-2.341954141,-0.916961393,-1.421538754,1.221434541,-0.629095762
1.338141021,-1.014224095,-0.396849981,1.334961315,shallow,60,unsafe,-1.263276398,-0.421284398,1.704933191,-0.196552394,-1.292591269,-0.093319325,-0.775405279,-0.552690791,-1.698257752,-1.320041962,1.227099901,1.264225087,-2.257522644,0.499849734,-1.816583626,-0.741132451
0.583272535,-1.285978156,-0.233161514,-0.012692824,deep,120,safe,-0.912755118,-0.078833121,-0.658358936,0.683882676,0.700902233,-1.45976631,-0.547864352,0.524179278,1.18195247,-0.270175872,0.436053634,-0.709254165,-0.621686162,0.642036663,-0.651193254,-1.428807802
-0.064300814,0.338344197,-0.389117907,-0.230207306,deep,unknown,unknown,2.208396855,2.002278098,0.516444596,0.854953383,-0.003782001,0.413340552,-1.265482155,0.545407477,-2.364156282,0.991100276,-0.004632266,-0.549240851,-1.123994531,0.058789944,1.515011558,-2.151237366
0.267841173,-0.508611402,0.291376584,-0.70949318,shallow,200,unknown,-1.259942501,0.722455199,0.11276482,0.296100929,-0.215855685,-0.616711033,1.035614851,-0.65396043,-0.851393192,2.149833025,-0.704570737,0.596614461,0.036966802,0.412993561,-1.532078383,-0.086869109
-0.842647096,1.423088944,-0.671289592,-0.741631541,shallow,250,unsafe,1.146338813,-1.189473179,0.473684718,-0.099912256,-1.313814308,0.738279748,1.651759435,1.802232309,0.281406615,-0.213040329,-0.676660577,0.240452325,0.301049213,-0.919115526,-0.709380991,1.052133452
0.735272684,-0.622167824,-0.787081716,-0.103185918,shallow,200,unknown,0.132778917,-2.051764711,0.174851794,2.598775507,-0.670429659,1.271530723,-1.164097471,-0.011526028,0.491681194,-0.193438124,1.971092275,-0.698553657,0.529881487,1.123222134,1.185591827,-0.471173234
-1.505412753,1.196986952,1.184119234,-1.694295052,deep,400,safe,-0.147330934,-2.159652194,-2.706281155,-0.86453724,0.601486595,0.445801376,-0.524728816,-0.939481878,0.800247394,-0.536723578,1.982021595,-0.532094098,2.193007824,0.267098786,0.000470786,-1.134294793
-0.036946233,0.16858715,-0.767738025,-1.03376045,deep,160,safe,-1.109613044,0.896021319,0.494579587,0.557768944,1.442088818,-0.122344824,-0.745952803,-1.810350671,-0.060281509,-0.323734864,-1.125052118,-0.394411521,0.815283102,1.265943958,0.782085717,0.518338546
-0.077723149,1.602197065,0.481275731,-0.360657306,deep,180,unsafe,-0.668407536,-0.222821484,-1.048573052,-0.578972639,-0.121850545,-0.041550877,0.424363765,0.16292947,-1.498241345,0.095812865,-0.50167382,-0.041520039,-0.245215724,-0.554918468,-1.251785202,0.880871255
-0.465106261,0.766051047,1.033965993,-1.900332938,deep,230,unsafe,0.017210854,1.058063339,0.127286305,1.501498555,-0.149034592,-0.926798251,0.578644487,-0.039325255,-1.160763435,2.412623032,-0.153688409,-2.366109586,-1.494850116,0.830900536,-0.063943644,-0.857590157
-0.26779204,0.754120187,0.597114448,-1.363983915,deep,230,unsafe,-1.060222351,-0.81107949,0.74329016,-0.100774599,-0.414455489,-0.224468396,0.174090767,0.647700673,-1.044366277,-0.993589782,-0.67835303,-0.406657344,0.486996185,0.42822133,-0.217983427,0.099277479
0.719710837,-0.679399591,-0.064232584,-1.303545859,shallow,400,unsafe,1.91055947,-0.818947749,-0.95938774,-1.435927993,-0.803418716,-0.452352042,-1.14317977,-1.776235256,2.071586917,-0.232595038,-1.705229293,-0.192281296,-0.451615697,-1.51616346,-1.599704236,-0.27339263
0.499702199,-0.081839008,0.997588477,-2.008079493,shallow,280,safe,0.096439255,-0.220578335,-0.941428833,0.266942999,-0.335958852,-1.922916519,0.479062609,0.05030221,0.451287944,0.657805875,-1.12942139,-1.125247456,-0.996133638,-0.056704842,0.628251218,0.072143322
0.346194081,-1.430702391,-0.022152771,0.162008289,deep,50,unsafe,-0.837485076,-0.305754533,-0.44586258,1.306235033,-0.037506752,-0.667630334,0.480263628,1.477657654,-0.35908922,-0.650082533,-0.926743808,0.907588508,-1.061791196,0.477628222,0.490597312,0.113919632
-2.581720597,-0.063112039,-0.707268807,0.698069943,deep,unknown,unsafe,-1.124154364,0.856147313,0.223889741,0.151606421,-0.896229597,0.676066291,-0.502272069,-1.338015102,-1.55276734,-0.086226412,-1.086986141,0.729032425,1.434364866,-0.07477877,0.106543568,1.989992551
0.05271002,-1.801915594,1.096655116,-0.973028788,shallow,280,unsafe,0.570844095,-0.562681929,-0.185894291,0.912574652,-0.027767626,-0.791713488,-0.382372611,-0.226031835,1.767342813,-0.274571226,-0.223303867,0.884372999,0.368038815,-2.398075117,-0.954763381,-0.194339643
1.620922089,0.853388179,-0.25540596,0.006435219,shallow,50,safe,-0.882328732,1.283735212,0.15882307,-1.191475564,1.601558379,0.578693292,-0.12868082,-1.503725133,-1.182252023,0.184929826,-0.288029743,-0.630545439,0.031293605,-1.301298712,-0.687267825,0.423636348
1.452773945,-1.625583308,-1.351194101,-0.670858057,deep,unknown,safe,-0.141815349,-1.166047594,0.249306461,-0.691727558,0.792325903,-0.42387221,0.679471719,-1.135974188,1.869598076,-1.03292339,-1.486133986,-1.110968421,-0.051964638,-0.721881208,0.683263708,-0.30086312
1.152479782,-0.095391529,-1.860857333,-0.762342528,deep,669,unknown,-1.267414162,1.263304547,0.93355832,-0.682972138,1.872804325,-1.67085705,0.435210744,-1.307972131,-0.182918601,-1.512777528,-0.802088278,0.261246152,0.08150373,0.181427786,-0.057128947,-2.024412421
0.168958528,0.951015145,0.288350401,-1.778425596,shallow,400,unknown,0.52728338,-0.745559622,-0.255567273,-0.015592459,-0.850696864,-0.028809913,-1.191433108,-1.469027842,0.196505864,-0.688696955,0.359062895,0.333864695,-0.2609225,-0.442563912,1.137444398,1.552137836
-1.665487389,1.94367978,-0.481335025,-0.760555255,deep,230,safe,-1.962455407,0.528268879,-1.138939681,2.015478035,0.973834785,0.451483615,-2.56006609,0.349962322,1.235478653,-1.716202565,-0.250392278,-0.033550898,-0.217418962,-2.064137275,-0.360826061,1.026998165
0.593818714,0.17013957,-0.791230164,-1.298496276,shallow,230,unsafe,0.079251126,3.116071492,1.653908504,-1.014101415,0.180083733,-1.92324296,2.867922283,1.014487329,0.343262862,0.0018571,-0.916053309,1.285252848,-1.810285902,-0.85977686,-0.531561763,-1.080814534
-0.215164108,0.378468788,0.677976846,0.216564765,shallow,400,unknown,-1.958735407,-1.158516023,-1.158664204,1.259847979,-0.190105758,1.017083202,0.637304529,-0.787753501,0.821808998,1.878367684,0.911559003,1.982567296,0.229490829,-0.306001275,-0.803334242,1.239122419
-1.393645809,-1.516629222,1.531965458,-1.416878026,shallow,180,safe,-0.82736686,-0.15773214,0.858755172,-0.778379361,1.502275168,0.095581734,0.859186891,-1.852181376,0.753727452,-0.143024056,1.777322269,0.518151883,1.39954173,0.929668791,0.713630132,0.261807914
0.20196951,-1.403909929,0.625917062,-0.290554941,deep,90,unknown,-0.043500354,0.273071311,0.063469832,1.057710259,-0.202899856,-0.978848206,3.21699871,2.569988319,0.217425375,-0.270328002,0.578759166,-0.4629939,-0.905626503,0.466685552,-1.006452831,-1.17644107
0.267911659,-0.134512949,1.720341768,-1.01842723,deep,280,unsafe,1.037308229,-1.238934213,0.626685152,0.658760196,-1.269457608,1.959735519,0.329099812,-0.700806765,1.467232192,1.446308615,0.718861331,2.063341115,-2.052513075,-1.734443397,0.104609453,1.015645414
-1.883281633,0.178294347,0.3868157,0.110635115,deep,160,unknown,0.654869992,-2.366557607,1.903949308,0.668152961,-0.692809391,-3.147439591,-1.116886007,0.409920783,-1.160574435,2.191633067,-1.649406076,-0.404258079,-0.077404416,-1.779256821,0.396856607,-0.274682933
0.279031369,-0.476620422,-1.301181009,-0.490066054,deep,120,safe,-0.763101255,-2.046397256,-2.306788615,0.099623063,-0.32265608,0.015732126,-1.005652235,0.372896368,0.934758483,0.933754895,-0.848840201,-1.08431473,0.491570649,1.349665145,0.118434893,-0.45329844
-0.410646777,-0.480510939,0.361936388,0.807099451,shallow,669,unknown,0.338757393,0.712113188,0.404016858,0.258853048,0.536094621,0.475301764,1.400331015,0.614607886,-0.971143945,1.27083121,0.396410236,-0.263362201,0.402070315,0.931434596,-1.623133051,0.827991175
-2.117244429,1.4511511,-0.434135931,0.192967183,shallow,230,unsafe,0.605037057,-0.021567427,-1.203221371,0.932672194,-0.759760153,-0.680170528,0.560126024,-0.131718879,-0.220220946,0.495642227,1.156002898,-0.498063882,0.277214505,-0.117846756,-2.501015472,0.090140013
-1.115110575,-0.400751229,-0.171099594,1.745956481,deep,unknown,safe,0.868554493,-0.596000704,1.08210412,-1.042820359,0.098134182,-0.833338288,-1.006604126,0.848320613,-1.057354417,1.187558503,-2.870040465,0.639189538,-0.405280709,0.582471017,-0.42968076,0.062702424
-2.157283697,-0.118240094,1.248079453,-1.046656916,deep,200,unsafe,0.424459611,0.457941038,-0.034400049,0.110880596,0.283175277,0.386773939,-1.086206232,1.558720364,1.31329625,-1.235166967,1.253781575,-0.064282982,2.235971804,-0.189717246,-0.929853299,-1.167080678
0.318991974,1.471897681,0.217031251,0.419953817,shallow,200,safe,1.172234598,0.517985246,1.718779879,-0.632883209,-1.236963281,0.967143541,0.082756235,0.18341974,-0.109401819,-0.251291701,0.376446463,0.482155422,-0.159098629,-2.158034222,-1.208169692,-0.220095151
1.259137938,-1.821750195,-0.731331342,-1.631947851,shallow,650,unknown,-0.111413743,0.532464366,-0.646122587,1.280263439,-0.979840175,-1.103902572,-0.736829398,0.733827233,0.214319929,0.378911209,1.060616156,0.727257184,0.47470197,0.730985349,-0.376299351,0.226070993
0.224102077,-0.096390049,-0.858075333,-1.229968879,deep,95,unsafe,0.334896498,0.79782825,0.228311293,0.28840248,-0.332280523,-1.343297893,0.947498896,1.027911276,2.366555015,1.152204732,0.456443154,0.422626016,-0.567114621,1.341170043,0.000961216,-1.947254249
-0.771564054,2.272635574,-2.620353913,-0.266339993,shallow,250,safe,-1.193339125,0.783020587,0.952911559,-0.67330788,-0.709357823,0.189629143,-0.255177452,0.368204789,0.757355463,0.361968299,-0.296372595,0.131750137,-0.640530989,1.338663597,-0.218363534,0.783767639
-0.397380079,1.663108803,0.777504062,0.416199202,shallow,669,unsafe,0.68769916,1.257506485,0.507272363,-0.407080564,0.447296423,0.971824276,0.15023803,0.394718299,-0.053381312,-0.563602651,-1.121240475,1.188402842,-0.002802543,-0.437052454,1.87128644,-1.818801965
0.589838344,1.143910751,-0.457541418,1.608410982,deep,95,unknown,0.649444004,1.349867552,-0.133763682,-0.992354078,1.047475375,-0.012675376,1.571832158,-0.121043926,0.339793696,0.908724046,-0.046054592,-1.309944585,-1.412541903,0.027432863,1.240334157,0.657728247
-0.501501208,-0.443851232,-0.694191821,0.598462507,shallow,700,unsafe,-0.45420695,0.330255452,-0.827634513,0.520849357,0.149063123,0.500195251,-1.20760573,-1.026726504,0.723212077,1.212839014,-1.851094697,-0.260409602,0.509377707,-0.436040063,0.391591226,1.117186689
-0.528718231,0.315844464,-0.16608327,-0.571610327,shallow,180,safe,-1.194950571,-1.265952232,-0.053475498,0.595138865,0.928030898,0.019212544,-1.447004748,0.156932994,-0.204499238,2.223964443,0.688034111,-0.461643677,-0.26073204,-1.118693033,-0.459190486,0.074814254
-2.05837702,0.892373333,0.756206402,0.079366597,deep,50,unsafe,1.432791863,0.346679678,-0.754306402,-1.283252546,0.293274691,0.61184476,-2.353389171,-0.222207878,0.777141277,-1.445284213,2.121493287,-0.498552658,-0.259400646,-0.067683303,-0.440009834,0.216035699
-1.169455689,-1.575640508,1.017913571,0.822787093,shallow,700,safe,0.717110052,-1.816555239,1.120224979,0.067817474,0.137787849,-1.404503797,1.018376239,0.433601385,0.635653208,0.102659139,-0.306067846,0.098402562,-2.040611957,-0.551684557,2.154262168,0.148399178
-2.430009941,-0.254950165,0.180422238,-1.614506813,shallow,60,unsafe,0.767052121,-1.138650735,-2.676296993,0.059556843,0.292467939,3.138702673,0.56132412,-0.60886506,0.522984602,1.235278977,1.089513678,-0.019743365,0.393182332,-0.007317103,-2.200898382,-0.00599763
0.439945255,0.042611265,0.01907974,2.211686467,shallow,280,safe,0.007695716,0.263585713,0.535177359,-0.222031505,-1.430591187,0.800545999,-1.984074368,0.003702852,-1.575449066,2.219766355,0.48131501,-0.302762667,0.967848055,0.03304764,1.419930027,1.543440211
-0.224290964,-0.116596569,-0.464971656,-0.211727426,shallow,280,safe,0.631753461,1.301702667,1.678556325,-0.48383041,-1.462435265,1.806970469,0.461029922,-0.900367597,-1.616431912,0.680048525,1.887246261,2.106741162,-9.44E-05,-0.055790234,0.89440499,-0.360865172
0.081384334,-0.157374608,-0.291559646,-2.135656068,deep,180,unsafe,-0.300350427,-0.034578062,0.046991169,1.631822592,-0.7638023,1.247939104,0.166579565,0.670683369,0.394446965,0.855187356,-1.406582939,-0.291070959,-1.89843531,-0.498794528,-0.542912931,1.212176301
0.521849231,-1.792550135,-1.01463633,-0.836728911,deep,120,unknown,0.309361589,-0.331646089,-0.466910792,0.350416882,-0.650382018,0.646668628,-0.181235251,-2.899726606,-0.526019955,1.011249651,0.967627534,2.143247992,-0.443687717,0.476035488,-1.700222215,-0.488004394
0.713079104,1.329898332,-0.025141055,-0.025541877,shallow,180,unknown,-1.827079947,1.147775937,-1.34726329,-0.15977236,-0.345047594,-0.175569572,0.448009217,1.610263498,2.555869363,-0.919462439,0.145706466,-1.038277877,-0.761626979,0.105288668,0.563965424,0.174175301
-0.429388838,-0.774945913,-0.039464453,0.30180964,shallow,669,unsafe,0.263968199,1.816612739,-0.335095459,1.578428836,0.248534726,0.379578816,-1.761015895,1.203726176,-1.222992614,0.623508919,-0.947973894,-2.082541935,-0.810265802,0.10079105,0.65768864,0.762441083
0.042685566,0.555370335,-1.041999038,-0.085049352,deep,650,safe,-0.793634262,1.294081538,-0.359431497,-0.420309111,1.114652591,0.221329872,0.12010559,0.938831358,2.325060025,-0.313916743,1.282046038,-1.067522383,-0.289280793,-2.072674517,-2.731638958,-1.891557454
1.305348823,-0.568239129,0.086316121,-0.940647131,deep,669,safe,-1.825102355,-0.147646065,-0.430582135,-1.919938672,1.500239396,0.230604807,-0.53328431,0.657998277,0.0025494,0.308516446,-0.832422893,-0.314868684,0.977423527,-0.62480794,0.764236786,0.732310401
-0.81362354,0.507543312,-0.095113548,-0.487426502,shallow,60,unsafe,0.780608509,0.351847187,0.275798945,1.1759143,0.516772825,0.502569182,1.607959732,0.037318849,-0.938439737,-0.174330423,2.224515863,-0.594809245,-0.96304356,-0.375438868,-2.146500251,0.179942632
-1.513445058,-0.854919863,-1.381021959,-0.205219659,shallow,160,safe,1.144712331,0.934615457,-0.106752475,1.561413605,-1.608596932,-0.530549926,-0.351369988,-0.918493633,1.867364173,0.449676509,-0.265087756,-0.30449901,0.012038103,-0.505808411,1.519486626,-1.257198005
-0.467408608,0.293635341,0.754794139,1.022452666,shallow,400,unknown,0.520156823,-0.889388108,-0.485413479,1.094101731,0.834522986,-0.253588624,-1.514792369,-0.497849132,1.34491483,1.338543915,-0.436217775,-0.466697483,-0.981491804,0.459204381,-1.501115353,-0.623597508
